0.355452,0.0176
0.444315,0.0212
0.533178,0.0249
0.622041,0.0294
0.710904,0.0361
0.799767,0.0473
0.88863,0.0682
0.9774927,0.1024
1.066356,0.1387
1.155219,0.1663
1.244082,0.1869
1.155219,0.2033
1.421808,0.2247
1.510671,0.2446
1.599534,0.2639
1.688397,0.2831
1.777259,0.3023
1.866122,0.3215
1.954985,0.3408
2.043848,0.3600
2.132711,0.3792
2.221574,0.3985
2.310437,0.4177
2.3993,0.4370
2.488163,0.4559
2.577026,0.4754
2.665889,0.4927
2.754752,0.5129
2.843615,0.5330
2.932478,0.5523
3.199067,0.6090
3.021341,0.5716
3.110204,0.5907
